"name","points","passes","coverage"
K6_S01,30,20.3,0.96
K6_S02,15,13.8,0.86
K6_S03,11,10.6,0.796
K6_S05,23,13.9,0.96
K6_S06,30,16.5,0.97
K6_S10,22,18,0.95
K6_S11,8,7.4,0.93
K6_S13,8,9,0.94
K6_S14,4,5,1
K6_S15,10,12,0.8
K6_S16,2,1,1
K6_S18,27,19.5,0.95
K6_S19,25,20.9,0.86
K6_S20,30,19.7,0.98
K6_S27,4,3,0.8
K6_S29,12,7,0.89
K6_S30,20,18.2,1
K6_S31,16,18,1
K6_S33,20,18.7,0.94
K7_S02,19,19,0.74
K7_S03,14,14.8,0.92
K7_S04,12,12.5,0.59
K7_S05,22,21.6,0.67
K7_S06,20,17,0.85
K7_S07,20,4.4,0.73
K7_S08,21,18.5,0.87
K7_S10,25,21.7,0.95
K7_S11,8,6,0.71
K7_S12,27,21.2,0.95
K7_S14,24,21.3,0.97
K7_S15,25,18.5,0.95
K7_S16,19,19.9,0.889
K7_S17,29,19.3,0.96
K7_S18,19,11.5,1
K7_S19,22,15.5,0.88
K7_S20,9,15.7,0.94
K7_S26,22,16.2,0.93
