project,block_count,hat_count,procedure_count,using_pen,script_count,sprite_count,statement_count,weighted_method_count,weighted_method_count_strict
K6_S11,38.0,5.0,0.0,0.0,6.0,3.0,28.0,11.0,10.0
K6_S05,75.0,7.0,0.0,0.0,7.0,3.0,49.0,20.0,20.0
K7_S14,57.0,4.0,0.0,0.0,4.0,3.0,40.0,14.0,14.0
K7_S15,59.0,5.0,0.0,0.0,5.0,3.0,42.0,14.0,14.0
K6_S10,72.0,7.0,0.0,0.0,8.0,3.0,56.0,20.0,19.0
K6_S06,55.0,4.0,0.0,0.0,4.0,3.0,37.0,14.0,14.0
K6_S12,43.0,4.0,0.0,0.0,4.0,3.0,26.0,11.0,11.0
K7_S17,69.0,6.0,0.0,0.0,6.0,3.0,52.0,19.0,19.0
K7_S03,55.0,4.0,0.0,0.0,4.0,3.0,37.0,15.0,15.0
K7_S02,81.0,7.0,0.0,0.0,18.0,3.0,58.0,34.0,17.0
K7_S16,67.0,4.0,0.0,0.0,8.0,3.0,43.0,21.0,17.0
K6_S13,69.0,8.0,0.0,0.0,8.0,3.0,50.0,21.0,21.0
K6_S03,61.0,10.0,0.0,0.0,10.0,3.0,45.0,21.0,21.0
K6_S17,3.0,2.0,0.0,0.0,2.0,3.0,3.0,2.0,2.0
K7_S12,58.0,4.0,0.0,0.0,4.0,3.0,41.0,15.0,15.0
K7_S06,52.0,5.0,0.0,0.0,6.0,3.0,41.0,14.0,12.0
K7_S07,68.0,8.0,0.0,0.0,8.0,3.0,51.0,19.0,19.0
K6_S16,14.0,1.0,0.0,0.0,1.0,3.0,8.0,4.0,4.0
K6_S02,51.0,6.0,0.0,0.0,11.0,3.0,37.0,20.0,14.0
K6_S14,8.0,3.0,0.0,0.0,3.0,3.0,8.0,3.0,3.0
K7_S05,81.0,9.0,0.0,0.0,21.0,3.0,61.0,33.0,19.0
K7_S11,31.0,4.0,0.0,0.0,6.0,3.0,21.0,11.0,9.0
K7_S10,57.0,4.0,0.0,0.0,4.0,3.0,38.0,15.0,15.0
K7_S04,79.0,7.0,0.0,0.0,26.0,3.0,63.0,41.0,16.0
K6_S01,65.0,4.0,0.0,0.0,4.0,3.0,46.0,16.0,16.0
K6_S15,35.0,3.0,0.0,0.0,6.0,3.0,25.0,12.0,9.0
K6_S29,39.0,3.0,0.0,0.0,3.0,3.0,28.0,13.0,13.0
K6_S30,55.0,4.0,0.0,0.0,4.0,3.0,41.0,14.0,14.0
K6_S18,70.0,5.0,0.0,0.0,5.0,3.0,48.0,19.0,19.0
K7_S08,57.0,4.0,0.0,0.0,9.0,4.0,38.0,19.0,14.0
K7_S20,48.0,6.0,0.0,0.0,7.0,3.0,36.0,18.0,16.0
K6_S19,61.0,4.0,0.0,0.0,4.0,3.0,37.0,14.0,14.0
K6_S31,43.0,7.0,0.0,0.0,7.0,3.0,33.0,14.0,14.0
K6_S27,17.0,4.0,0.0,0.0,5.0,3.0,15.0,9.0,6.0
K6_S33,70.0,4.0,0.0,0.0,5.0,3.0,48.0,15.0,14.0
K7_S27,42.0,6.0,0.0,0.0,7.0,4.0,26.0,16.0,15.0
K7_S26,62.0,6.0,0.0,0.0,7.0,3.0,45.0,19.0,18.0
K7_S18,52.0,6.0,0.0,0.0,6.0,3.0,40.0,18.0,18.0
K7_S24,52.0,3.0,0.0,0.0,8.0,3.0,34.0,17.0,12.0
K7_S19,56.0,6.0,0.0,0.0,8.0,3.0,43.0,18.0,16.0
K6_S20,73.0,4.0,0.0,0.0,5.0,3.0,45.0,18.0,17.0
