project,block_count,hat_count,procedure_count,using_pen,script_count,sprite_count,statement_count,weighted_method_count,weighted_method_count_strict
among us,52.0,9.0,0.0,0.0,9.0,3.0,47.0,9.0,9.0
"Beat the goalie ",31.0,5.0,0.0,0.0,5.0,2.0,23.0,9.0,9.0
Chilled Windos,132.0,22.0,0.0,0.0,23.0,6.0,115.0,35.0,34.0
Dance show,38.0,18.0,0.0,0.0,18.0,3.0,38.0,19.0,19.0
Evin's ghost project,24.0,3.0,0.0,0.0,4.0,1.0,20.0,7.0,5.0
For My Best Friend Jake,105.0,7.0,1.0,1.0,7.0,3.0,86.0,26.0,26.0
freinds,27.0,6.0,0.0,0.0,6.0,2.0,27.0,6.0,6.0
"Harry Potter Quiz ",349.0,6.0,0.0,0.0,6.0,1.0,253.0,40.0,40.0
High Seas Starter Project remix,60.0,6.0,0.0,0.0,6.0,5.0,60.0,10.0,10.0
Introduction to scratch,248.0,39.0,1.0,0.0,45.0,20.0,221.0,54.0,46.0
jumpy jumpy pico,116.0,19.0,0.0,0.0,19.0,5.0,80.0,48.0,46.0
"Maze original ",34.0,7.0,0.0,0.0,7.0,1.0,25.0,17.0,17.0
"Ninja Quest of slime ",1002.0,57.0,5.0,0.0,58.0,15.0,522.0,194.0,193.0
PacMan,669.0,83.0,0.0,0.0,83.0,59.0,541.0,208.0,208.0
SCRATCH GOOGLE DOODLE,86.0,18.0,0.0,0.0,18.0,19.0,86.0,32.0,32.0
"Shippuden Konan ",3363.0,95.0,0.0,0.0,101.0,47.0,2308.0,561.0,554.0
Stick Ninja,1633.0,105.0,15.0,0.0,105.0,22.0,1016.0,340.0,340.0
Tetris The Grand Master Remade ACE Mode,3981.0,114.0,16.0,0.0,124.0,42.0,1672.0,495.0,464.0
Undertone Sans Sprite remix,30.0,5.0,0.0,0.0,5.0,4.0,17.0,8.0,8.0
❝ɪ ᴄᴀɴ'ᴛ ʜᴀɴᴅʟᴇ ᴄʜᴀɴɢᴇ❞ remix,435.0,23.0,0.0,0.0,26.0,8.0,390.0,80.0,77.0
